year,city,type,sub_type,number
2010,"St. John's",Total violent Criminal Code violations,Actual incidents,3240
2011,"St. John's",Total violent Criminal Code violations,Actual incidents,3010
1998,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1281.09
1999,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1285.45
2000,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1260.46
2001,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1289.63
2002,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1253.53
2003,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1162.95
2004,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1188.27
2005,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1223.7
2006,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1181.25
2007,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1548.7
2008,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1621.62
2009,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1592.28
2010,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1730.25
2011,"St. John's",Total violent Criminal Code violations,"Rate per 100,000 population",1595.52
1998,"St. John's",Homicide,Actual incidents,2
1999,"St. John's",Homicide,Actual incidents,0
2000,"St. John's",Homicide,Actual incidents,3
2001,"St. John's",Homicide,Actual incidents,1
2002,"St. John's",Homicide,Actual incidents,1
2003,"St. John's",Homicide,Actual incidents,2
2004,"St. John's",Homicide,Actual incidents,1
2005,"St. John's",Homicide,Actual incidents,2
2006,"St. John's",Homicide,Actual incidents,1
2007,"St. John's",Homicide,Actual incidents,1
2008,"St. John's",Homicide,Actual incidents,1
2009,"St. John's",Homicide,Actual incidents,0
2010,"St. John's",Homicide,Actual incidents,2
2011,"St. John's",Homicide,Actual incidents,4
1998,"St. John's",Homicide,"Rate per 100,000 population",1.16
1999,"St. John's",Homicide,"Rate per 100,000 population",0
2000,"St. John's",Homicide,"Rate per 100,000 population",1.73
2001,"St. John's",Homicide,"Rate per 100,000 population",0.57
2002,"St. John's",Homicide,"Rate per 100,000 population",0.57
2003,"St. John's",Homicide,"Rate per 100,000 population",1.13
2004,"St. John's",Homicide,"Rate per 100,000 population",0.56
2005,"St. John's",Homicide,"Rate per 100,000 population",1.11
2006,"St. John's",Homicide,"Rate per 100,000 population",0.55
2007,"St. John's",Homicide,"Rate per 100,000 population",0.55
2008,"St. John's",Homicide,"Rate per 100,000 population",0.55
2009,"St. John's",Homicide,"Rate per 100,000 population",0
2010,"St. John's",Homicide,"Rate per 100,000 population",1.07
2011,"St. John's",Homicide,"Rate per 100,000 population",2.12
1998,"Halifax","Total, all violations",Actual incidents,35245
1999,"Halifax","Total, all violations",Actual incidents,35776
2000,"Halifax","Total, all violations",Actual incidents,33155
2001,"Halifax","Total, all violations",Actual incidents,35473
2002,"Halifax","Total, all violations",Actual incidents,35122
2003,"Halifax","Total, all violations",Actual incidents,36781
2004,"Halifax","Total, all violations",Actual incidents,39513
2005,"Halifax","Total, all violations",Actual incidents,36582
2006,"Halifax","Total, all violations",Actual incidents,35497
2007,"Halifax","Total, all violations",Actual incidents,33232
2008,"Halifax","Total, all violations",Actual incidents,30968
2009,"Halifax","Total, all violations",Actual incidents,31038
2010,"Halifax","Total, all violations",Actual incidents,32428
2011,"Halifax","Total, all violations",Actual incidents,29373
1998,"Halifax","Total, all violations","Rate per 100,000 population",10328.9
1999,"Halifax","Total, all violations","Rate per 100,000 population",10370.94
2000,"Halifax","Total, all violations","Rate per 100,000 population",9051.1
2001,"Halifax","Total, all violations","Rate per 100,000 population",9611.07
2002,"Halifax","Total, all violations","Rate per 100,000 population",9395.51
2003,"Halifax","Total, all violations","Rate per 100,000 population",9754.53
2004,"Halifax","Total, all violations","Rate per 100,000 population",10413.34
2005,"Halifax","Total, all violations","Rate per 100,000 population",9612.22
2006,"Halifax","Total, all violations","Rate per 100,000 population",9225.13
2007,"Halifax","Total, all violations","Rate per 100,000 population",8564.44
2008,"Halifax","Total, all violations","Rate per 100,000 population",7882.61
2009,"Halifax","Total, all violations","Rate per 100,000 population",7797.08
2010,"Halifax","Total, all violations","Rate per 100,000 population",8026.14
2011,"Halifax","Total, all violations","Rate per 100,000 population",7199.26
1998,"Halifax",Total violent Criminal Code violations,Actual incidents,5113
1999,"Halifax",Total violent Criminal Code violations,Actual incidents,5789
2000,"Halifax",Total violent Criminal Code violations,Actual incidents,6694
2001,"Halifax",Total violent Criminal Code violations,Actual incidents,7912
2002,"Halifax",Total violent Criminal Code violations,Actual incidents,8022
2003,"Halifax",Total violent Criminal Code violations,Actual incidents,8528
2004,"Halifax",Total violent Criminal Code violations,Actual incidents,8730
2005,"Halifax",Total violent Criminal Code violations,Actual incidents,8225
2006,"Halifax",Total violent Criminal Code violations,Actual incidents,8060
2007,"Halifax",Total violent Criminal Code violations,Actual incidents,7181
2008,"Halifax",Total violent Criminal Code violations,Actual incidents,6741
2009,"Halifax",Total violent Criminal Code violations,Actual incidents,6603
2010,"Halifax",Total violent Criminal Code violations,Actual incidents,6240
2011,"Halifax",Total violent Criminal Code violations,Actual incidents,5566
1998,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",1498.42
1999,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",1678.15
2000,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",1827.42
2001,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",2143.68
2002,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",2145.97
2003,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",2261.67
2004,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",2300.72
2005,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",2161.19
2006,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",2094.67
2007,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",1850.66
2008,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",1715.86
2009,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",1658.75
2010,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",1544.44
2011,"Halifax",Total violent Criminal Code violations,"Rate per 100,000 population",1364.22
1998,"Halifax",Homicide,Actual incidents,12
1999,"Halifax",Homicide,Actual incidents,7
2000,"Halifax",Homicide,Actual incidents,8
2001,"Halifax",Homicide,Actual incidents,3
2002,"Halifax",Homicide,Actual incidents,5
2003,"Halifax",Homicide,Actual incidents,3
2004,"Halifax",Homicide,Actual incidents,9
2005,"Halifax",Homicide,Actual incidents,11
2006,"Halifax",Homicide,Actual incidents,6
2007,"Halifax",Homicide,Actual incidents,7
2008,"Halifax",Homicide,Actual incidents,7
2009,"Halifax",Homicide,Actual incidents,12
2010,"Halifax",Homicide,Actual incidents,11
2011,"Halifax",Homicide,Actual incidents,18
1998,"Halifax",Homicide,"Rate per 100,000 population",3.52
1999,"Halifax",Homicide,"Rate per 100,000 population",2.03
2000,"Halifax",Homicide,"Rate per 100,000 population",2.18
2001,"Halifax",Homicide,"Rate per 100,000 population",0.81
2002,"Halifax",Homicide,"Rate per 100,000 population",1.34
2003,"Halifax",Homicide,"Rate per 100,000 population",0.8
2004,"Halifax",Homicide,"Rate per 100,000 population",2.37
2005,"Halifax",Homicide,"Rate per 100,000 population",2.89
2006,"Halifax",Homicide,"Rate per 100,000 population",1.56
2007,"Halifax",Homicide,"Rate per 100,000 population",1.8
2008,"Halifax",Homicide,"Rate per 100,000 population",1.78
2009,"Halifax",Homicide,"Rate per 100,000 population",3.01
2010,"Halifax",Homicide,"Rate per 100,000 population",2.72
2011,"Halifax",Homicide,"Rate per 100,000 population",4.41
1998,"Saint John","Total, all violations",Actual incidents,10835
1999,"Saint John","Total, all violations",Actual incidents,11672
2000,"Saint John","Total, all violations",Actual incidents,10726
2001,"Saint John","Total, all violations",Actual incidents,10465
2002,"Saint John","Total, all violations",Actual incidents,11881
2003,"Saint John","Total, all violations",Actual incidents,11909
2004,"Saint John","Total, all violations",Actual incidents,11024
2005,"Saint John","Total, all violations",Actual incidents,8098
2006,"Saint John","Total, all violations",Actual incidents,8330
2007,"Saint John","Total, all violations",Actual incidents,9175
2008,"Saint John","Total, all violations",Actual incidents,8874
2009,"Saint John","Total, all violations",Actual incidents,8635
2010,"Saint John","Total, all violations",Actual incidents,8417
2011,"Saint John","Total, all violations",Actual incidents,7326
1998,"Saint John","Total, all violations","Rate per 100,000 population",8689.34
1999,"Saint John","Total, all violations","Rate per 100,000 population",7972.84
2000,"Saint John","Total, all violations","Rate per 100,000 population",7335.47
2001,"Saint John","Total, all violations","Rate per 100,000 population",7185.43
2002,"Saint John","Total, all violations","Rate per 100,000 population",8149.06
2003,"Saint John","Total, all violations","Rate per 100,000 population",8221.61
2004,"Saint John","Total, all violations","Rate per 100,000 population",7594.64
2005,"Saint John","Total, all violations","Rate per 100,000 population",7959.58
2006,"Saint John","Total, all violations","Rate per 100,000 population",8430.06
2007,"Saint John","Total, all violations","Rate per 100,000 population",9026.78
2008,"Saint John","Total, all violations","Rate per 100,000 population",8699.74
2009,"Saint John","Total, all violations","Rate per 100,000 population",8408.31
2010,"Saint John","Total, all violations","Rate per 100,000 population",8167.4
2011,"Saint John","Total, all violations","Rate per 100,000 population",7084.28
1998,"Saint John",Total violent Criminal Code violations,Actual incidents,2477
1999,"Saint John",Total violent Criminal Code violations,Actual incidents,2852
2000,"Saint John",Total violent Criminal Code violations,Actual incidents,2577
2001,"Saint John",Total violent Criminal Code violations,Actual incidents,2536
2002,"Saint John",Total violent Criminal Code violations,Actual incidents,2716
2003,"Saint John",Total violent Criminal Code violations,Actual incidents,2739
2004,"Saint John",Total violent Criminal Code violations,Actual incidents,2501
2005,"Saint John",Total violent Criminal Code violations,Actual incidents,2140
2006,"Saint John",Total violent Criminal Code violations,Actual incidents,2130
2007,"Saint John",Total violent Criminal Code violations,Actual incidents,2257
2008,"Saint John",Total violent Criminal Code violations,Actual incidents,2199
2009,"Saint John",Total violent Criminal Code violations,Actual incidents,2146
2010,"Saint John",Total violent Criminal Code violations,Actual incidents,2065
2011,"Saint John",Total violent Criminal Code violations,Actual incidents,1896
1998,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",1986.48
1999,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",1948.13
2000,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",1762.4
2001,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",1741.26
2002,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",1862.88
2003,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",1890.92
2004,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",1722.99
2005,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",2103.42
2006,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",2155.59
2007,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",2220.54
2008,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",2155.82
2009,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",2089.66
2010,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",2003.76
2011,"Saint John",Total violent Criminal Code violations,"Rate per 100,000 population",1833.44
1998,"Saint John",Homicide,Actual incidents,0
1999,"Saint John",Homicide,Actual incidents,1
2000,"Saint John",Homicide,Actual incidents,1
2001,"Saint John",Homicide,Actual incidents,1
2002,"Saint John",Homicide,Actual incidents,2
2003,"Saint John",Homicide,Actual incidents,1
2004,"Saint John",Homicide,Actual incidents,1
2005,"Saint John",Homicide,Actual incidents,0
2006,"Saint John",Homicide,Actual incidents,1
2007,"Saint John",Homicide,Actual incidents,2
2008,"Saint John",Homicide,Actual incidents,1
2009,"Saint John",Homicide,Actual incidents,0
2010,"Saint John",Homicide,Actual incidents,2
2011,"Saint John",Homicide,Actual incidents,3
1998,"Saint John",Homicide,"Rate per 100,000 population",0
1999,"Saint John",Homicide,"Rate per 100,000 population",0.68
2000,"Saint John",Homicide,"Rate per 100,000 population",0.68
2001,"Saint John",Homicide,"Rate per 100,000 population",0.69
2002,"Saint John",Homicide,"Rate per 100,000 population",1.37
2003,"Saint John",Homicide,"Rate per 100,000 population",0.69
2004,"Saint John",Homicide,"Rate per 100,000 population",0.69
2005,"Saint John",Homicide,"Rate per 100,000 population",0
2006,"Saint John",Homicide,"Rate per 100,000 population",1.01
2007,"Saint John",Homicide,"Rate per 100,000 population",1.97
2008,"Saint John",Homicide,"Rate per 100,000 population",0.98
2009,"Saint John",Homicide,"Rate per 100,000 population",0
2010,"Saint John",Homicide,"Rate per 100,000 population",1.94
2011,"Saint John",Homicide,"Rate per 100,000 population",2.9
1998,"Quebec","Total, all violations",Actual incidents,40548
1999,"Quebec","Total, all violations",Actual incidents,38486
2000,"Quebec","Total, all violations",Actual incidents,40316
2001,"Quebec","Total, all violations",Actual incidents,38221
2002,"Quebec","Total, all violations",Actual incidents,37445
2003,"Quebec","Total, all violations",Actual incidents,37545
2004,"Quebec","Total, all violations",Actual incidents,36015
2005,"Quebec","Total, all violations",Actual incidents,36022
2006,"Quebec","Total, all violations",Actual incidents,38289
2007,"Quebec","Total, all violations",Actual incidents,36528
2008,"Quebec","Total, all violations",Actual incidents,36403
2009,"Quebec","Total, all violations",Actual incidents,34797
2010,"Quebec","Total, all violations",Actual incidents,33674
2011,"Quebec","Total, all violations",Actual incidents,31756
1998,"Quebec","Total, all violations","Rate per 100,000 population",5873.95
1999,"Quebec","Total, all violations","Rate per 100,000 population",5557.06
2000,"Quebec","Total, all violations","Rate per 100,000 population",5797.79
2001,"Quebec","Total, all violations","Rate per 100,000 population",5466.72
2002,"Quebec","Total, all violations","Rate per 100,000 population",5311.3
2003,"Quebec","Total, all violations","Rate per 100,000 population",5294.22
2004,"Quebec","Total, all violations","Rate per 100,000 population",5032.5
2005,"Quebec","Total, all violations","Rate per 100,000 population",5003.97
2006,"Quebec","Total, all violations","Rate per 100,000 population",5290.25
2007,"Quebec","Total, all violations","Rate per 100,000 population",5002.54
2008,"Quebec","Total, all violations","Rate per 100,000 population",4934.63
2009,"Quebec","Total, all violations","Rate per 100,000 population",4670.56
2010,"Quebec","Total, all violations","Rate per 100,000 population",4475.54
2011,"Quebec","Total, all violations","Rate per 100,000 population",4181.47
1998,"Quebec",Total violent Criminal Code violations,Actual incidents,4400
1999,"Quebec",Total violent Criminal Code violations,Actual incidents,4941
2000,"Quebec",Total violent Criminal Code violations,Actual incidents,5446
2001,"Quebec",Total violent Criminal Code violations,Actual incidents,5484
2002,"Quebec",Total violent Criminal Code violations,Actual incidents,5426
2003,"Quebec",Total violent Criminal Code violations,Actual incidents,5363
2004,"Quebec",Total violent Criminal Code violations,Actual incidents,5116
2005,"Quebec",Total violent Criminal Code violations,Actual incidents,5626
2006,"Quebec",Total violent Criminal Code violations,Actual incidents,7044
2007,"Quebec",Total violent Criminal Code violations,Actual incidents,6745
2008,"Quebec",Total violent Criminal Code violations,Actual incidents,6514
2009,"Quebec",Total violent Criminal Code violations,Actual incidents,6751
2010,"Quebec",Total violent Criminal Code violations,Actual incidents,6859
2011,"Quebec",Total violent Criminal Code violations,Actual incidents,6260
1998,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",637.4
1999,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",713.44
2000,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",783.18
2001,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",784.37
2002,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",769.64
2003,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",756.24
2004,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",714.88
2005,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",781.53
2006,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",973.24
2007,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",923.73
2008,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",883.01
2009,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",906.14
2010,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",911.61
2011,"Quebec",Total violent Criminal Code violations,"Rate per 100,000 population",824.29
1998,"Quebec",Homicide,Actual incidents,15
1999,"Quebec",Homicide,Actual incidents,10
2000,"Quebec",Homicide,Actual incidents,12
2001,"Quebec",Homicide,Actual incidents,5
2002,"Quebec",Homicide,Actual incidents,3
2003,"Quebec",Homicide,Actual incidents,3
2004,"Quebec",Homicide,Actual incidents,6
2005,"Quebec",Homicide,Actual incidents,5
2006,"Quebec",Homicide,Actual incidents,7
2007,"Quebec",Homicide,Actual incidents,0
2008,"Quebec",Homicide,Actual incidents,8
2009,"Quebec",Homicide,Actual incidents,2
2010,"Quebec",Homicide,Actual incidents,6
2011,"Quebec",Homicide,Actual incidents,3
1998,"Quebec",Homicide,"Rate per 100,000 population",2.17
1999,"Quebec",Homicide,"Rate per 100,000 population",1.44
2000,"Quebec",Homicide,"Rate per 100,000 population",1.73
2001,"Quebec",Homicide,"Rate per 100,000 population",0.72
2002,"Quebec",Homicide,"Rate per 100,000 population",0.43
2003,"Quebec",Homicide,"Rate per 100,000 population",0.42
2004,"Quebec",Homicide,"Rate per 100,000 population",0.84
2005,"Quebec",Homicide,"Rate per 100,000 population",0.69
2006,"Quebec",Homicide,"Rate per 100,000 population",0.97
2007,"Quebec",Homicide,"Rate per 100,000 population",0
2008,"Quebec",Homicide,"Rate per 100,000 population",1.08
2009,"Quebec",Homicide,"Rate per 100,000 population",0.27
2010,"Quebec",Homicide,"Rate per 100,000 population",0.8
2011,"Quebec",Homicide,"Rate per 100,000 population",0.4
1998,"Montreal","Total, all violations",Actual incidents,271721
1999,"Montreal","Total, all violations",Actual incidents,253964
2000,"Montreal","Total, all violations",Actual incidents,257641
2001,"Montreal","Total, all violations",Actual incidents,244521
2002,"Montreal","Total, all violations",Actual incidents,239397
2003,"Montreal","Total, all violations",Actual incidents,242375
2004,"Montreal","Total, all violations",Actual incidents,235220
2005,"Montreal","Total, all violations",Actual incidents,238406
2006,"Montreal","Total, all violations",Actual incidents,241298
2007,"Montreal","Total, all violations",Actual incidents,229300
2008,"Montreal","Total, all violations",Actual incidents,232917
2009,"Montreal","Total, all violations",Actual incidents,231033
2010,"Montreal","Total, all violations",Actual incidents,217635
2011,"Montreal","Total, all violations",Actual incidents,211092
1998,"Montreal","Total, all violations","Rate per 100,000 population",8031.02
1999,"Montreal","Total, all violations","Rate per 100,000 population",7417.2
2000,"Montreal","Total, all violations","Rate per 100,000 population",7469.15
2001,"Montreal","Total, all violations","Rate per 100,000 population",7016.46
2002,"Montreal","Total, all violations","Rate per 100,000 population",6734.49
2003,"Montreal","Total, all violations","Rate per 100,000 population",6723.32
2004,"Montreal","Total, all violations","Rate per 100,000 population",6470.74
2005,"Montreal","Total, all violations","Rate per 100,000 population",6483.97
2006,"Montreal","Total, all violations","Rate per 100,000 population",6525.03
2007,"Montreal","Total, all violations","Rate per 100,000 population",6156.41
2008,"Montreal","Total, all violations","Rate per 100,000 population",6180.67
2009,"Montreal","Total, all violations","Rate per 100,000 population",6045.09
2010,"Montreal","Total, all violations","Rate per 100,000 population",5616.52
2011,"Montreal","Total, all violations","Rate per 100,000 population",5378.75
1998,"Montreal",Total violent Criminal Code violations,Actual incidents,38048
1999,"Montreal",Total violent Criminal Code violations,Actual incidents,42563
2000,"Montreal",Total violent Criminal Code violations,Actual incidents,45636
2001,"Montreal",Total violent Criminal Code violations,Actual incidents,42887
2002,"Montreal",Total violent Criminal Code violations,Actual incidents,42473
2003,"Montreal",Total violent Criminal Code violations,Actual incidents,42782
2004,"Montreal",Total violent Criminal Code violations,Actual incidents,42613
2005,"Montreal",Total violent Criminal Code violations,Actual incidents,43108
2006,"Montreal",Total violent Criminal Code violations,Actual incidents,42818
2007,"Montreal",Total violent Criminal Code violations,Actual incidents,40756
2008,"Montreal",Total violent Criminal Code violations,Actual incidents,42356
2009,"Montreal",Total violent Criminal Code violations,Actual incidents,41970
2010,"Montreal",Total violent Criminal Code violations,Actual incidents,40423
2011,"Montreal",Total violent Criminal Code violations,Actual incidents,39940
1998,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1124.55
1999,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1243.08
2000,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1323.01
2001,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1230.63
2002,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1194.81
2003,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1186.74
2004,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1172.25
2005,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1172.42
2006,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1157.86
2007,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1094.25
2008,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1123.96
2009,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1098.17
2010,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1043.2
2011,"Montreal",Total violent Criminal Code violations,"Rate per 100,000 population",1017.7
1998,"Montreal",Homicide,Actual incidents,65
1999,"Montreal",Homicide,Actual incidents,71
2000,"Montreal",Homicide,Actual incidents,75
2001,"Montreal",Homicide,Actual incidents,78
2002,"Montreal",Homicide,Actual incidents,66
2003,"Montreal",Homicide,Actual incidents,56
2004,"Montreal",Homicide,Actual incidents,63
2005,"Montreal",Homicide,Actual incidents,48
2006,"Montreal",Homicide,Actual incidents,52
2007,"Montreal",Homicide,Actual incidents,59
2008,"Montreal",Homicide,Actual incidents,48
2009,"Montreal",Homicide,Actual incidents,44
2010,"Montreal",Homicide,Actual incidents,50
2011,"Montreal",Homicide,Actual incidents,54
1998,"Montreal",Homicide,"Rate per 100,000 population",1.92
1999,"Montreal",Homicide,"Rate per 100,000 population",2.07
2000,"Montreal",Homicide,"Rate per 100,000 population",2.17
2001,"Montreal",Homicide,"Rate per 100,000 population",2.24
2002,"Montreal",Homicide,"Rate per 100,000 population",1.86
2003,"Montreal",Homicide,"Rate per 100,000 population",1.55
2004,"Montreal",Homicide,"Rate per 100,000 population",1.73
2005,"Montreal",Homicide,"Rate per 100,000 population",1.31
2006,"Montreal",Homicide,"Rate per 100,000 population",1.41
2007,"Montreal",Homicide,"Rate per 100,000 population",1.58
2008,"Montreal",Homicide,"Rate per 100,000 population",1.27
2009,"Montreal",Homicide,"Rate per 100,000 population",1.15
2010,"Montreal",Homicide,"Rate per 100,000 population",1.29
2011,"Montreal",Homicide,"Rate per 100,000 population",1.38
1998,"Ottawa","Total, all violations",Actual incidents,82911
1999,"Ottawa","Total, all violations",Actual incidents,71885
2000,"Ottawa","Total, all violations",Actual incidents,67648
2001,"Ottawa","Total, all violations",Actual incidents,70830
2002,"Ottawa","Total, all violations",Actual incidents,73835
2003,"Ottawa","Total, all violations",Actual incidents,75214
2004,"Ottawa","Total, all violations",Actual incidents,71238
2005,"Ottawa","Total, all violations",Actual incidents,71517
2006,"Ottawa","Total, all violations",Actual incidents,72366
2007,"Ottawa","Total, all violations",Actual incidents,71465
2008,"Ottawa","Total, all violations",Actual incidents,66733
2009,"Ottawa","Total, all violations",Actual incidents,65269
2010,"Ottawa","Total, all violations",Actual incidents,62432
2011,"Ottawa","Total, all violations",Actual incidents,60506
1998,"Ottawa","Total, all violations","Rate per 100,000 population",7993.13
1999,"Ottawa","Total, all violations","Rate per 100,000 population",6713.91
2000,"Ottawa","Total, all violations","Rate per 100,000 population",6196.89
2001,"Ottawa","Total, all violations","Rate per 100,000 population",6348.95
2002,"Ottawa","Total, all violations","Rate per 100,000 population",6522.79
2003,"Ottawa","Total, all violations","Rate per 100,000 population",6564.28
2004,"Ottawa","Total, all violations","Rate per 100,000 population",6160.48
2005,"Ottawa","Total, all violations","Rate per 100,000 population",6128.81
2006,"Ottawa","Total, all violations","Rate per 100,000 population",6142.47
2007,"Ottawa","Total, all violations","Rate per 100,000 population",6002.99
2008,"Ottawa","Total, all violations","Rate per 100,000 population",5511.71
2009,"Ottawa","Total, all violations","Rate per 100,000 population",5322.35
2010,"Ottawa","Total, all violations","Rate per 100,000 population",5040.63
2011,"Ottawa","Total, all violations","Rate per 100,000 population",4807.87
1998,"Ottawa",Total violent Criminal Code violations,Actual incidents,12461
1999,"Ottawa",Total violent Criminal Code violations,Actual incidents,11730
2000,"Ottawa",Total violent Criminal Code violations,Actual incidents,12081
2001,"Ottawa",Total violent Criminal Code violations,Actual incidents,14257
2002,"Ottawa",Total violent Criminal Code violations,Actual incidents,13859
2003,"Ottawa",Total violent Criminal Code violations,Actual incidents,13787
2004,"Ottawa",Total violent Criminal Code violations,Actual incidents,13479
2005,"Ottawa",Total violent Criminal Code violations,Actual incidents,12648
2006,"Ottawa",Total violent Criminal Code violations,Actual incidents,12081
2007,"Ottawa",Total violent Criminal Code violations,Actual incidents,11602
2008,"Ottawa",Total violent Criminal Code violations,Actual incidents,11090
2009,"Ottawa",Total violent Criminal Code violations,Actual incidents,11196
