City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Burlington,1/14/2011,83052753250,Business Applications Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Later Stage,MA,Boston Metro,1,1,5
San Francisco,1/14/2011,1.10448E+11,Multimedia/Streaming Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,5.02
Emeryville,1/15/2011,6.11624E+11,Specialty Foods,Consumer Goods,Food and Beverage,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,16.03
Los Angeles,1/15/2011,6.12999E+11,General Media/Content,Consumer Services,Media and Content,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Startup,First Round,CA,Los Angeles Metro,1,1,5
Ventura,1/17/2011,6.09671E+11,Customer Relationship Management,Business and Financial Services,Business Support Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,First Round,CA,Los Angeles Metro,1,1,1.25
Cambridge,1/18/2011,6.10614E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,First Round,MA,Boston Metro,1,1,1.06
Chicago,1/18/2011,1.15967E+11,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Product Development,Second Round,IL,Chicago Metro,1,1,3.77
Miramar,1/18/2011,55445742124,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Clinical Trials - Phase 3,Later Stage,FL,,1,1,6.18
San Diego,1/18/2011,1.13913E+11,Pharmaceuticals,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Clinical Trials - Phase 2,Later Stage,CA,San Diego Metro,1,1,2
San Diego,1/18/2011,3.5633E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Later Stage,CA,San Diego Metro,1,1,1.85
Palo Alto,1/18/2011,6.05514E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,10.96
Boxborough,1/18/2011,6.13005E+11,Database Software,Information Technology,Software,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,MA,Boston Metro,1,1,2.65
Alameda,1/18/2011,6.04043E+11,Multimedia/Streaming Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,5.25
Sunnyvale,1/18/2011,6.13124E+11,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,22
Saint Petersburg,1/18/2011,1.00934E+11,Wireless Communications Equipment,Information Technology,Communications and Networking,"Tampa-St. Petersburg-Clearwater, FL",South East,Generating Revenue,Later Stage,FL,,1,1,12.5
Sunnyvale,1/19/2011,59679753267,Fuel Cells,Energy and Utilities,Renewable Energy,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,100
Rockville,1/19/2011,81676753588,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Clinical Trials - Phase 3,Corporate,MD,Potomac,1,1,12.02
Pittsburgh,1/19/2011,59761759694,Surgical Devices,Healthcare,Medical Devices and Equipment,"Pittsburgh, PA",Mid-Atlantic,Product Development,Later Stage,PA,,1,1,16.88
Madison,1/19/2011,91260757930,Pharmaceuticals,Healthcare,Biopharmaceuticals,"Madison, WI",Midwest East,Clinical Trials - Phase 1,Later Stage,WI,,1,1,1.7
Palo Alto,1/20/2011,6.11622E+11,General Business Consulting,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Seed Round,CA,San Francisco Bay Area,1,1,0.6
Santa Fe,1/20/2011,1.0666E+11,Nuclear Energy,Energy and Utilities,Non-Renewable Energy,"Santa Fe, NM",Mountain,Product Development,Second Round,NM,,1,1,2.87
Burlington,1/20/2011,1.14204E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,MA,Boston Metro,1,1,4.5
Brentwood,1/20/2011,62245758258,Inpatient Facilities,Healthcare,Healthcare Services,"Nashville-Davidson-Murfreesboro, TN",South East,Profitable,Later Stage,TN,,1,1,6
Marlborough,1/20/2011,1.05658E+11,Coatings/Adhesives,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product In Beta Test,Later Stage,MA,Boston Metro,1,1,8
Jersey City,1/20/2011,56105753620,Communications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,ACQ Financing,NJ,New York Metro,1,1,
San Francisco,1/20/2011,81119753646,Communications Software,Information Technology,Software,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,13
Mountain View,1/20/2011,6.11585E+11,Software Development Tools,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Seed Round,CA,San Francisco Bay Area,1,1,0.02
Lanham,1/21/2011,6.11446E+11,Business to Business Marketplaces,Business and Financial Services,Business Support Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,First Round,MD,Potomac,1,1,1.9
Sunnyvale,1/21/2011,6.04572E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,10.58
Suwanee,1/21/2011,6.0803E+11,Data Management Services,Business and Financial Services,Business Support Services,"Atlanta-Sandy Springs-Marietta, GA",South East,Product Development,First Round,GA,,1,1,11
Seattle,1/21/2011,1.82896E+11,Online Communities,Consumer Services,Consumer Information Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Second Round,WA,Seattle Metro,1,1,4
Bloomfield,1/21/2011,80997753406,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Hartford-West Hartford-East Hartford, CT",New England,Product Development,First Round,CT,,1,1,3
Midland,1/21/2011,6.1166E+11,Oil/Gas Exploration and Production,Energy and Utilities,Non-Renewable Energy,"Midland, TX",South Central,Startup,First Round,TX,,1,1,50
San Diego,1/21/2011,55917753699,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,Later Stage,CA,San Diego Metro,1,1,0.01
Davis,1/21/2011,54687753653,Crop Cultivation/Horticulture,Industrial Goods and Materials,Agriculture and Forestry,"Sacramento--Arden-Arcade--Roseville, CA",Northern California,Generating Revenue,Later Stage,CA,,1,1,17.7
Palo Alto,1/21/2011,3.58625E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,25.9
Lexington,1/22/2011,6.11567E+11,Filters/Membranes,Industrial Goods and Materials,Materials and Chemicals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,MA,Boston Metro,1,1,
New York,1/24/2011,3.58519E+11,Facilities/Operations Management,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,NY,New York Metro,1,1,4.03
Austin,1/24/2011,1.02392E+11,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"Austin-Round Rock, TX",South Central,Generating Revenue,Second Round,TX,Austin Metro,1,1,2
Lexington,1/24/2011,92355753358,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,MA,Boston Metro,1,1,37.5
Newark,1/24/2011,93229753643,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Francisco-Oakland-Fremont, CA",Northern California,Clinical Trials - Phase 2,Later Stage,CA,San Francisco Bay Area,1,1,45
Bethesda,1/24/2011,61503753707,Medical/Lab Services,Healthcare,Healthcare Services,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mid-Atlantic,Generating Revenue,Second Round,MD,Potomac,1,1,0.17
Milpitas,1/24/2011,1.82955E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Second Round,CA,San Francisco Bay Area,1,1,12.5
Santa Clara,1/24/2011,3.55217E+11,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,3
Austin,1/24/2011,86298753381,Software: Other,Information Technology,Software,"Austin-Round Rock, TX",South Central,Generating Revenue,Restart,TX,Austin Metro,1,1,4
Middletown,1/25/2011,6.1163E+11,Logistics/Delivery Services,Business and Financial Services,Wholesale Trade and Shipping,"Hartford-West Hartford-East Hartford, CT",New England,Generating Revenue,First Round,CT,,1,1,
San Jose,1/25/2011,6.06774E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,22.5
San Francisco,1/25/2011,3.55636E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,6.29
Pacific Palisades,1/25/2011,6.12649E+11,Travel and Leisure: Other,Consumer Services,Travel and Leisure,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,First Round,CA,Los Angeles Metro,1,1,1.56217541
San Francisco,1/25/2011,1.13476E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,1.7
New York,1/25/2011,6.1162E+11,Online Communities,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Seed Round,NY,New York Metro,1,1,0.8
Livermore,1/25/2011,6.11689E+11,Solar Energy,Energy and Utilities,Renewable Energy,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,First Round,CA,San Francisco Bay Area,1,1,7
Seattle,1/25/2011,1.16112E+11,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product In Beta Test,Second Round,WA,Seattle Metro,1,1,0.89
Baltimore,1/25/2011,65318753382,Surgical Devices,Healthcare,Medical Devices and Equipment,"Baltimore-Towson, MD",Mid-Atlantic,Generating Revenue,Later Stage,MD,Potomac,1,1,12.6
Mesa,1/25/2011,1.01909E+11,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Phoenix-Mesa-Scottsdale, AZ",Mountain,Generating Revenue,Later Stage,AZ,,1,1,10.56
Laguna Hills,1/25/2011,72808755640,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Clinical Trials - Generic,Later Stage,CA,Orange County,1,1,6
Laguna Hills,1/25/2011,72808753594,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Clinical Trials - Generic,Later Stage,CA,Orange County,1,1,29.5
New York,1/25/2011,1.8284E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Second Round,NY,New York Metro,1,1,4.1
Tampa,1/25/2011,74311753642,Managed Care,Healthcare,Healthcare Services,"Tampa-St. Petersburg-Clearwater, FL",South East,Generating Revenue,Second Round,FL,,1,1,0.09
Torrance,1/25/2011,3.59777E+11,Data Storage,Information Technology,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,CA,Los Angeles Metro,1,1,
Newark,1/26/2011,1.10458E+11,Automotive Parts,Consumer Goods,Vehicles and Parts,"San Francisco-Oakland-Fremont, CA",Northern California,Product In Beta Test,Later Stage,CA,San Francisco Bay Area,1,1,17
New York,1/26/2011,81044753644,Entertainment,Consumer Services,Consumer Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,7.51
Sunrise,1/26/2011,4.71222E+11,Patient Monitoring/Biofeedback,Healthcare,Medical Devices and Equipment,"Miami-Fort Lauderdale-Pompano Beach, FL",South East,Generating Revenue,First Round,FL,,1,1,21
Memphis,1/26/2011,6.11625E+11,Drug Discovery/Bioinformatics Software,Healthcare,Medical Software and Information Services,"Memphis, TN-MS-AR",South East,Generating Revenue,Seed Round,TN,,1,1,0.23
Portland,1/26/2011,1.09811E+11,Multimedia/Streaming Software,Information Technology,Software,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Corporate,OR,,1,1,
Lisle,1/26/2011,1.02173E+11,Communications Software,Information Technology,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Later Stage,IL,Chicago Metro,1,1,7
Santa Clara,1/26/2011,61118753654,Design Automation Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,2
Philadelphia,1/27/2011,6.15108E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,First Round,PA,,1,1,0.84
New York,1/27/2011,87608753479,Lending,Business and Financial Services,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,15
Seattle,1/27/2011,1.8226E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Seattle-Tacoma-Bellevue, WA",Pacific Northwest,Product Development,Second Round,WA,Seattle Metro,1,1,3.5
New York,1/27/2011,6.11721E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Seed Round,CA,New York Metro,1,1,0.02
Scotts Valley,1/27/2011,1.83459E+11,Recreational/Sports Vehicles,Consumer Goods,Vehicles and Parts,"Santa Cruz-Watsonville, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,2
Chicago,1/27/2011,4.70791E+11,Online Communities,Consumer Services,Consumer Information Services,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,Second Round,IL,Chicago Metro,1,1,0.5
Pleasanton,1/27/2011,85588753656,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,26
Evanston,1/27/2011,6.11792E+11,Vertical Market Applications Software,Information Technology,Software,"Chicago-Naperville-Joliet, IL-IN-WI",Midwest East,Generating Revenue,First Round,IL,Chicago Metro,1,1,5.65
Aliso Viejo,1/27/2011,99857753954,Communications Software,Information Technology,Software,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Profitable,Individual,CA,Orange County,1,1,2.8
Austin,1/27/2011,87157753834,Electronic Components/Devices,Information Technology,Electronics and Computer Hardware,"Austin-Round Rock, TX",South Central,Product In Beta Test,Later Stage,TX,Austin Metro,1,1,
San Francisco,1/28/2011,6.13461E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,6.44
San Francisco,1/28/2011,6.10362E+11,Online Communities,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Product Development,First Round,CA,San Francisco Bay Area,1,1,10.84
West Henrietta,1/28/2011,3.5694E+11,Medical Lab Instruments/Test Kits,Healthcare,Medical Devices and Equipment,"Rochester, NY",Mid-Atlantic,Product Development,First Round,NY,,1,1,0.68
Pittsburgh,1/28/2011,65304753922,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Pittsburgh, PA",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,1.08
Plymouth,1/28/2011,1.1298E+11,Drug Development Technologies,Healthcare,Biopharmaceuticals,"Detroit-Warren-Livonia, MI",Midwest East,Product Development,Later Stage,MI,,1,1,6.7
Newark,1/28/2011,85595753900,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,33.79
Sunnyvale,1/28/2011,67886753902,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Later Stage,CA,San Francisco Bay Area,1,1,5
Palo Alto,1/31/2011,6.14692E+11,Data Management Services,Business and Financial Services,Business Support Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product In Beta Test,First Round,CA,San Francisco Bay Area,1,1,2.5
Boulder,1/31/2011,6.06185E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Boulder, CO",Mountain,Generating Revenue,Later Stage,CO,,1,1,4.14
Pleasanton,1/31/2011,71052753193,Customer Relationship Management,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,8.6
Austin,1/31/2011,92532753570,Advertising/Marketing,Business and Financial Services,Business Support Services,"Austin-Round Rock, TX",South Central,Generating Revenue,Later Stage,TX,Austin Metro,1,1,4.6
