epid,country,first_name,last_name,birthdate,gender,eugroup,party
114268,FI,Nils,TORVALDS,1945-08-07,M,ALDE,Svenska folkpartiet
114873,CZ,Vojtěch,MYNÁŘ,1944-05-04,M,S&D,Česká strana sociálně demokratická
96959,GB,George,LYON,1956-07-16,M,ALDE,Liberal Democrats Party
116663,BG,Monika,PANAYOTOVA,1983-08-19,F,PPE,Citizens for European Development of Bulgaria
99419,GR,Charalampos,ANGOURAKIS,1951-01-19,M,GUE/NGL,Communist Party of Greece
115868,NL,Patricia van der,KAMMEN,1972-04-08,F,Array,Partij voor de Vrijheid
111017,ES,Dolores,GARCÍA-HIERRO CARABALLO,1958-05-16,F,S&D,Partido Socialista Obrero Español
96860,FR,Michèle,STRIFFLER,1957-08-23,F,PPE,Parti Radical / Union des Démocrates et Indépendants
116823,IT,Francesca,BARRACCIU,1966-06-11,F,S&D,Partito Democratico
113959,GB,Martina,ANDERSON,1962-04-16,F,GUE/NGL,Sinn Féin
96702,RO,Elena Oana,ANTONESCU,1979-12-30,F,PPE,Partidul Democrat-Liberal
116816,BG,Preslav,BORISSOV,1977-03-07,M,PPE,Citizens for European Development of Bulgaria
94283,GB,Trevor,COLMAN,1941-08-27,M,Array,United Kingdom Independence Party
96726,NL,Marije,CORNELISSEN,1974-03-09,F,Verts/ALE,GroenLinks
96868,FR,Karima,DELLI,1979-03-04,F,Verts/ALE,Europe Écologie
117477,BE,Mark,DEMESMAEKER,1958-09-12,M,Verts/ALE,Nieuw-Vlaamse Alliantie
96725,NL,Bas,EICKHOUT,1976-10-08,M,Verts/ALE,GroenLinks
96745,FR,Catherine,GRÈZE,1960-04-15,F,Verts/ALE,Europe Écologie
96648,BE,Philippe,LAMBERTS,1963-03-14,M,Verts/ALE,Ecologistes Confédérés pour l'Organisation de Luttes Originales
118144,CY,Andreas,PITSILLIDES,1977-06-09,M,PPE,Democratic Rally
113487,PT,Alda,SOUSA,1953-08-04,F,GUE/NGL,Bloco de Esquerda
118710,IT,Franco,BONANINI,1952-11-07,M,Array,Indipendente
111014,AT,Josef,WEIDENHOLZER,1950-03-06,M,S&D,Sozialdemokratische Partei Österreichs
118708,IT,Susy,DE MARTINI,1952-06-17,F,ECR,Forza Italia
103246,NL,Auke,ZIJLSTRA,1964-11-01,M,Array,Partij voor de Vrijheid
119439,HR,Marino,BALDINI,1963-07-12,M,S&D,Socijaldemokratska partija Hrvatske
28497,GB,Gerard,BATTEN,1954-03-27,M,EFD,United Kingdom Independence Party
28336,CZ,Věra,FLASAROVÁ,1952-12-19,F,GUE/NGL,Komunistická strana Čech a Moravy
37448,RO,Eduard-Raul,HELLVIG,1974-10-27,M,ALDE,Partidul Naţional Liberal
96704,CZ,Edvard,KOŽUŠNÍK,1971-01-30,M,ECR,Občanská demokratická strana
119441,HR,Sandra,PETROVIĆ JAKOVINA,1985-03-21,F,S&D,Socijaldemokratska partija Hrvatske
33991,RO,Ovidiu Ioan,SILAGHI,1962-12-12,M,ALDE,Partidul Naţional Liberal
4293,DE,Gabriele,STAUNER,1948-04-22,F,PPE,Christlich-Soziale Union in Bayern e.V.
119440,HR,Oleg,VALJALO,1970-11-19,M,S&D,Socijaldemokratska partija Hrvatske
96944,GB,Marina,YANNAKOUDAKIS,1956-04-16,F,ECR,Conservative Party
117119,RO,Dan Dumitru,ZAMFIRESCU,1953-11-01,M,Array,Partidul România Mare
118709,IT,Fabrizio,BERTOT,1967-02-23,M,PPE,Forza Italia
96815,NL,Judith,SARGENTINI,1974-03-13,F,Verts/ALE,GroenLinks
96696,LT,Algirdas,SAUDARGAS,1948-04-17,M,PPE,Tėvynės sąjunga - Lietuvos krikščionys demokratai
96945,NL,Marietje,SCHAAKE,1978-10-28,F,ALDE,Democraten 66
96827,DE,Birgit,SCHNIEBER-JASTRAM,1946-07-04,F,PPE,Christlich Demokratische Union Deutschlands
96731,DE,Werner,SCHULZ,1950-01-22,M,Verts/ALE,Bündnis 90/Die Grünen
96836,DE,Peter,SIMON,1967-04-04,M,S&D,Sozialdemokratische Partei Deutschlands
96655,SK,Monika,SMOLKOVÁ,1956-10-06,F,S&D,SMER-Sociálna demokracia
96678,SE,Alf,SVENSSON,1938-10-01,M,PPE,Kristdemokraterna
96920,GB,Kay,SWINBURNE,1967-06-08,F,ECR,Conservative Party
96847,RO,Claudiu Ciprian,TĂNĂSESCU,1965-07-19,M,S&D,Partidul Social Democrat
97136,EE,Indrek,TARAND,1964-02-03,M,Verts/ALE,Sõltumatu
96974,PT,Nuno,TEIXEIRA,1973-01-13,M,PPE,Partido Social Democrata
96776,PL,Róża Gräfin von,THUN UND HOHENSTEIN,1954-04-13,F,PPE,Platforma Obywatelska
97026,FR,Patrice,TIROLIEN,1946-03-17,M,S&D,Parti socialiste
96756,DE,Sabine,VERHEYEN,1964-10-24,F,PPE,Christlich Demokratische Union Deutschlands
96839,DE,Kerstin,WESTPHAL,1962-09-11,F,S&D,Sozialdemokratische Partei Deutschlands
96741,DE,Sabine,WILS,1959-05-31,F,GUE/NGL,DIE LINKE.
96764,DE,Hermann,WINKLER,1963-04-22,M,PPE,Christlich Demokratische Union Deutschlands
39725,RO,Iuliu,WINKLER,1964-03-14,M,PPE,Uniunea Democrată Maghiară din România
96656,SK,Boris,ZALA,1954-12-09,M,S&D,SMER-Sociálna demokracia
96795,PL,Jacek Olgierd,KURSKI,1966-02-22,M,EFD,Solidarna Polska
97344,IE,Paul,MURPHY,1983-04-13,M,GUE/NGL,Socialist Party
96900,GR,Georgios,PAPANIKOLAOU,1977-08-15,M,PPE,Nea Demokratia
96758,DE,Gerald,HÄFNER,1956-11-03,M,Verts/ALE,Bündnis 90/Die Grünen
96872,DE,Nadja,HIRSCH,1978-07-13,F,ALDE,Freie Demokratische Partei
96693,LT,Juozas,IMBRASAS,1941-01-08,M,EFD,Partija Tvarka ir teisingumas
96812,ES,Juan Fernando,LÓPEZ AGUILAR,1961-06-10,M,S&D,Partido Socialista Obrero Español
34234,BG,Antonyia,PARVANOVA,1962-04-26,F,ALDE,National Movement for Stability and Progress
96658,GR,Konstantinos,POUPAKIS,1951-01-18,M,PPE,Nea Demokratia
108570,SE,Amelia,ANDERSDOTTER,1987-08-30,F,Verts/ALE,Piratpartiet
97193,IT,Antonello,ANTINORO,1960-08-03,M,PPE,Unione dei Democratici cristiani e dei Democratici di Centro
97009,GR,Kriton,ARSENIS,1977-08-03,M,S&D,-
96732,FR,Malika,BENARAB-ATTOU,1963-03-25,F,Verts/ALE,Europe Écologie
96912,GB,David,CAMPBELL BANNERMAN,1960-05-28,M,ECR,Conservative Party
96866,IT,Salvatore,CARONNA,1964-03-05,M,S&D,Partito Democratico
26851,GR,Nikolaos,CHOUNTIS,1953-09-17,M,GUE/NGL,Coalition of the Radical Left
111823,GR,Nikos,CHRYSOGELOS,1959-05-13,M,Verts/ALE,Ecologist Greens
96775,IT,Lara,COMI,1983-02-18,F,PPE,Forza Italia
96786,PL,Tadeusz,CYMAŃSKI,1955-06-06,M,EFD,Solidarna Polska
96747,FR,Arnaud,DANJEAN,1971-02-11,M,PPE,Union pour un Mouvement Populaire
109337,BE,Philippe,DE BACKER,1978-12-04,M,ALDE,Open Vlaamse Liberalen en Democraten
28256,BE,Jean-Luc,DEHAENE,1940-08-07,M,PPE,Christen-Democratisch & Vlaams
96914,BE,Anne,DELVAUX,1970-10-20,F,PPE,Centre Démocrate Humaniste
107977,GR,Dimitrios,DROUTSAS,1968-08-05,M,S&D,Panhellenic Socialist Movement
23840,CZ,Richard,FALBR,1940-09-29,M,S&D,Česká strana sociálně demokratická
28126,SE,Christofer,FJELLNER,1976-12-13,M,PPE,Moderata Samlingspartiet
96993,IT,Lorenzo,FONTANA,1980-04-10,M,EFD,Lega Nord
96949,GB,Vicky,FORD,1967-09-21,F,ECR,Conservative Party
96957,GB,Ashley,FOX,1969-11-15,M,ECR,Conservative Party
96940,NL,Gerben-Jan,GERBRANDY,1967-06-28,M,ALDE,Democraten 66
96956,GB,Julie,GIRLING,1956-12-21,F,ECR,Conservative Party
96790,PL,Marek Józef,GRÓBARCZYK,1968-03-13,M,ECR,Prawo i Sprawiedliwość
96768,ES,Enrique,GUERRERO SALOM,1948-08-28,M,S&D,Partido Socialista Obrero Español
96952,FR,Sylvie,GUILLAUME,1962-06-11,F,S&D,Parti socialiste
109649,SE,Mikael,GUSTAFSSON,1966-03-06,M,GUE/NGL,Vänsterpartiet
96907,CY,Takis,HADJIGEORGIOU,1956-12-11,M,GUE/NGL,Progressive Party of Working People - Left - New Forces
28233,DE,Rebecca,HARMS,1956-12-07,F,Verts/ALE,Bündnis 90/Die Grünen
28321,FI,Satu,HASSI,1951-06-03,F,Verts/ALE,Vihreä liitto
110365,SE,Kent,JOHANSSON,1951-12-27,M,ALDE,Centerpartiet
96883,FR,Eva,JOLY,1943-12-05,F,Verts/ALE,Europe Écologie
28280,PL,Filip,KACZMAREK,1966-11-22,M,PPE,Platforma Obywatelska
96807,BG,Ivailo,KALFIN,1964-05-30,M,S&D,Coalition for Bulgaria
96901,LV,Krišjānis,KARIŅŠ,1964-12-13,M,PPE,Vienotība
96734,DE,Franziska,KELLER,1981-11-22,F,Verts/ALE,Bündnis 90/Die Grünen
97011,GR,Georgios,KOUMOUTSAKOS,1961-09-17,M,PPE,Nea Demokratia
97968,BG,Andrey,KOVATCHEV,1967-12-13,M,PPE,Citizens for European Development of Bulgaria
96820,PT,Marisa,MATIAS,1976-02-20,F,GUE/NGL,Bloco de Esquerda
96936,ES,Gabriel,MATO ADROVER,1961-04-29,M,PPE,Partido Popular
96663,DK,Morten,MESSERSCHMIDT,1980-11-13,M,EFD,Dansk Folkeparti
97020,IT,Guido,MILANA,1954-03-02,M,S&D,Partito Democratico
97280,IT,Claudio,MORGANTI,1973-04-14,M,EFD,Indipendente
28288,PL,Jan,OLBRYCHT,1952-09-21,M,PPE,Platforma Obywatelska
96783,PL,Wojciech Michał,OLEJNICZAK,1974-04-10,M,S&D,Sojusz Lewicy Demokratycznej
97007,GR,Chrysoula,PALIADELI,1947-07-08,F,S&D,Panhellenic Socialist Movement
97050,CY,Antigoni,PAPADOPOULOU,1954-07-08,F,S&D,Democratic Party
33984,RO,Ioan Mircea,PAŞCU,1949-02-17,M,S&D,Partidul Social Democrat
96989,ES,Andrés,PERELLÓ RODRÍGUEZ,1957-07-01,M,S&D,Partido Socialista Obrero Español
96925,GR,Sylvana,RAPTI,1958-11-10,F,S&D,Panhellenic Socialist Movement
96885,FR,Dominique,RIQUET,1946-09-18,M,PPE,Parti Radical
96710,DK,Jens,ROHDE,1970-04-18,M,ALDE,"Venstre, Danmarks Liberale Parti"
96819,IT,Licia,RONZULLI,1975-09-14,F,PPE,Forza Italia
99416,GR,Nikolaos,SALAVRAKOS,1946-02-15,M,EFD,Popular Orthodox Rally - G. Karatzaferis
96770,PL,Joanna Katarzyna,SKRZYDLEWSKA,1977-02-17,F,PPE,Platforma Obywatelska
97018,GR,Theodoros,SKYLAKAKIS,1959-10-18,M,ALDE,Drassi
97008,GR,Georgios,STAVRAKAKIS,1954-10-13,M,S&D,Panhellenic Socialist Movement
39721,RO,Theodor Dumitru,STOLOJAN,1943-10-24,M,PPE,Partidul Democrat-Liberal
28320,CZ,Ivo,STREJČEK,1962-01-11,M,ECR,Občanská demokratická strana
96703,DK,Emilie,TURUNEN,1984-05-13,F,S&D,Socialdemokratiet
96660,GR,Niki,TZAVELA,1947-06-30,F,EFD,Popular Orthodox Rally - G. Karatzaferis
97131,IT,Giommaria,UGGIAS,1961-03-29,M,ALDE,Italia dei Valori - Lista Di Pietro
28221,DE,Thomas,ULMER,1956-07-25,M,PPE,Christlich Demokratische Union Deutschlands
96858,FR,Marie-Christine,VERGIAT,1956-09-23,F,GUE/NGL,Front de gauche pour changer d’Europe
96774,PL,Jarosław Leszek,WAŁĘSA,1976-09-13,M,PPE,Platforma Obywatelska
96763,ES,Pablo,ZALBA BIDEGAIN,1975-01-28,M,PPE,Partido Popular
96777,PL,Paweł,ZALEWSKI,1964-09-25,M,PPE,Platforma Obywatelska
108329,IT,Andrea,ZANONI,1965-08-26,M,ALDE,-
96933,SI,Milan,ZVER,1962-05-25,M,PPE,Slovenska demokratska stranka
96814,RO,Elena,BĂSESCU,1980-04-24,F,PPE,Partidul Democrat-Liberal
96878,HU,Lajos,BOKROS,1954-06-26,M,ECR,Modern Magyarország Mozgalom
96739,DE,Reinhard,BÜTIKOFER,1953-01-26,M,Verts/ALE,Bündnis 90/Die Grünen
99325,GR,Spyros,DANELLIS,1955-01-28,M,S&D,Panhellenic Socialist Movement
96859,RO,Ioan,ENCIU,1953-04-14,M,S&D,Partidul Social Democrat
96852,DE,Cornelia,ERNST,1956-11-30,F,GUE/NGL,DIE LINKE.
39321,ES,Vicente Miguel,GARCÉS RAMÓN,1946-11-10,M,S&D,Partido Socialista Obrero Español
96991,ES,Eider,GARDIAZÁBAL RUBIAL,1975-07-12,F,S&D,Partido Socialista Obrero Español
28266,NL,Sophia in 't,VELD,1963-09-13,F,ALDE,Democraten 66
28314,FI,Anneli,JÄÄTTEENMÄKI,1955-02-11,F,ALDE,Suomen Keskusta
105849,FR,Agnès,LE BRUN,1961-12-28,F,PPE,Union pour un Mouvement Populaire
96709,DK,Morten,LØKKEGAARD,1964-12-20,M,ALDE,"Venstre, Danmarks Liberale Parti"
96825,RO,Norica,NICOLAI,1958-01-27,F,ALDE,Partidul Naţional Liberal
97229,IT,Niccolò,RINALDI,1962-12-03,M,ALDE,Italia dei Valori - Lista Di Pietro
111018,ES,Salvador,SEDÓ i ALABART,1969-04-03,M,PPE,Unió Democràtica de Catalunya
97019,SI,Ivo,VAJGL,1943-03-03,M,ALDE,ZARES-Nova Politika
111589,PT,Inês Cristina,ZUBER,1980-03-11,F,GUE/NGL,Partido Comunista Português
96803,PL,Zbigniew,ZIOBRO,1970-08-18,M,EFD,Solidarna Polska
111019,ES,Eva,ORTIZ VILELLA,1975-10-16,F,PPE,Partido Popular
111026,AT,Ewald,STADLER,1961-05-21,M,Array,Bündnis Zukunft Österreich
112620,GB,Rebecca,TAYLOR,1975-08-10,F,ALDE,Liberal Democrats Party
96908,FR,Gaston,FRANCO,1944-02-04,M,PPE,Union pour un Mouvement Populaire
23785,PL,Andrzej,GRZYB,1956-08-23,M,PPE,Polskie Stronnictwo Ludowe
96813,IT,Barbara,MATERA,1981-12-09,F,PPE,Forza Italia
96997,DE,Burkhard,BALZ,1969-07-24,M,PPE,Christlich Demokratische Union Deutschlands
96779,PL,Danuta Maria,HÜBNER,1948-04-08,F,PPE,Platforma Obywatelska
96871,DE,Michael,THEURER,1967-01-12,M,ALDE,Freie Demokratische Partei
33997,RO,Corina,CREŢU,1967-06-24,F,S&D,Partidul Social Democrat
97296,FR,Michel,DANTIN,1960-01-15,M,PPE,Union pour un Mouvement Populaire
96998,AT,Evelyn,REGNER,1966-01-24,F,S&D,Sozialdemokratische Partei Österreichs
96843,IT,Marco,SCURRIA,1967-05-18,M,PPE,Fratelli d'Italia - Centrodestra Nazionale
101580,FR,Constance,LE GRIP,1960-11-14,F,PPE,Union pour un Mouvement Populaire
105624,FR,Philippe,BOULLAND,1955-08-18,M,PPE,Union pour un Mouvement Populaire
28324,CZ,Milan,CABRNOCH,1962-08-06,M,ECR,Občanská demokratická strana
96826,HU,Tamás,DEUTSCH,1966-07-27,M,PPE,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
96896,FR,Marielle,GALLO,1949-05-19,F,PPE,Union des Démocrates et Indépendants
96684,FI,Liisa,JAAKONSAARI,1945-09-02,F,S&D,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
4246,AT,Othmar,KARAS,1957-12-24,M,PPE,Österreichische Volkspartei
96800,PL,Marek Henryk,MIGALSKI,1969-01-14,M,ECR,Polska Razem Jarosława Gowina
96889,IT,Potito,SALATTO,1942-01-22,M,PPE,Popolari per l’Europa
96918,GB,Derek,VAUGHAN,1961-05-02,M,S&D,Labour Party
112071,IE,Emer,COSTELLO,1962-09-03,F,S&D,Labour Party
111027,BG,Svetoslav Hristov,MALINOV,1968-01-19,M,PPE,Blue Coalition
96749,GB,Andrew Henry William,BRONS,1947-06-16,M,Array,British Democratic Party
4553,GB,Jacqueline,FOSTER,1947-12-30,F,ECR,Conservative Party
96735,FR,Patrick,LE HYARIC,1957-02-04,M,GUE/NGL,Front de gauche pour changer d’Europe
96831,DE,Jutta,STEINRUCK,1962-09-01,F,S&D,Sozialdemokratische Partei Deutschlands
4462,IT,Clemente,MASTELLA,1947-02-05,M,PPE,Unione Democratici per l'Europa
96999,LV,Alexander,MIRSKY,1964-03-20,M,S&D,"Politiskā Partija ""Alternative"""
96875,DE,Britta,REIMERS,1971-07-27,F,ALDE,Freie Demokratische Partei
96685,FI,Riikka,PAKARINEN,1981-08-24,F,ALDE,Suomen Keskusta
4556,GB,Nirj,DEVA,1948-05-11,M,ECR,Conservative Party
96780,DE,Monika,HOHLMEIER,1962-07-02,F,PPE,Christlich-Soziale Union in Bayern e.V.
28171,NL,Emine,BOZKURT,1967-08-09,F,S&D,Partij van de Arbeid
28311,PT,Luis Manuel,CAPOULAS SANTOS,1951-08-22,M,S&D,Partido Socialista
96848,BG,Mariya,GABRIEL,1979-05-20,F,PPE,Citizens for European Development of Bulgaria
28177,FR,Bernadette,VERGNAUD,1950-09-16,F,S&D,Parti socialiste
96874,DE,Alexandra,THEIN,1963-10-05,F,ALDE,Freie Demokratische Partei
41007,IT,Iva,ZANICCHI,1940-01-18,F,PPE,Forza Italia
96802,PL,Jacek,WŁOSOWICZ,1966-01-25,M,EFD,Solidarna Polska
97086,IT,Sonia,ALFANO,1971-10-15,F,ALDE,Italia dei Valori - Lista Di Pietro
96892,IT,Roberto,GUALTIERI,1966-07-19,M,S&D,Partito Democratico
96862,FR,Sophie,AUCONIE,1963-08-19,F,PPE,Union des Démocrates et Indépendants
96736,DE,Jan Philipp,ALBRECHT,1982-12-20,M,Verts/ALE,Bündnis 90/Die Grünen
96750,FR,François,ALFONSI,1953-09-14,M,Verts/ALE,Partitu di a Nazione Corsa
28246,DE,Alexander,ALVARO,1975-05-26,M,ALDE,Freie Demokratische Partei
96954,GB,Marta,ANDREASEN,1954-11-26,F,ECR,-
96986,ES,Josefa,ANDRÉS BAREA,1958-02-17,F,S&D,Partido Socialista Obrero Español
28276,LT,Laima Liucija,ANDRIKIENĖ,1958-01-01,F,PPE,Tėvynės sąjunga - Lietuvos krikščionys demokratai
1941,IT,Roberta,ANGELILLI,1965-02-01,F,PPE,Nuovo Centrodestra
28422,IT,Alfredo,ANTONIOZZI,1956-03-18,M,PPE,Nuovo Centrodestra
97228,IT,Pino,ARLACCHI,1951-02-21,M,S&D,Partito Democratico
28132,GB,Richard,ASHWORTH,1947-09-17,M,ECR,Conservative Party
4537,GB,Sir Robert,ATKINS,1946-02-05,M,ECR,Conservative Party
23938,MT,John,ATTARD-MONTALTO,1953-02-07,M,S&D,Partit Laburista
33775,FR,Jean-Pierre,AUDY,1952-06-12,M,PPE,Union pour un Mouvement Populaire
28161,DK,Margrete,AUKEN,1945-01-06,F,Verts/ALE,Socialistisk Folkeparti
28292,ES,Inés,AYALA SENDER,1957-03-28,F,S&D,Partido Socialista Obrero Español
28114,IE,Liam,AYLWARD,1952-09-27,M,ALDE,Fianna Fáil Party
4319,ES,Pilar,AYUSO,1942-06-16,F,PPE,Partido Popular
96937,NL,Johannes Cornelis van,BAALEN,1960-06-17,M,ALDE,Volkspartij voor Vrijheid en Democratie
97293,LU,Georges,BACH,1955-06-12,M,PPE,Parti chrétien social luxembourgeois
28342,ES,Maria,BADIA i CUTCHET,1947-05-13,F,S&D,Partit dels Socialistes de Catalunya
23813,HU,Zoltán,BAGÓ,1975-01-10,M,PPE,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
96680,LT,Zigmantas,BALČYTIS,1953-11-16,M,S&D,Lietuvos socialdemokratų partija
